i;j;distrout
Dahmani;Hajeb Elayoun;103
Enfidha;Hajeb Elayoun;126
El Jem;Hajeb Elayoun;139
El Fahs;Hajeb Elayoun;146
Douz;Hajeb Elayoun;271
Ghar El Melh;Hajeb Elayoun;259
Ghardimaou;Hajeb Elayoun;187
Guettar;Hajeb Elayoun;153
Gromballia;Hajeb Elayoun;190
Feriana;Hajeb Elayoun;117
Gafsa;Hajeb Elayoun;139
Gabes;Hajeb Elayoun;251
Gaafour;Hajeb Elayoun;150
Sidi Thabet;Hajeb Elayoun;230
Siliana;Hajeb Elayoun;113
Sidi Bou Ali;Hajeb Elayoun;139
Sidi Bouzid;Hajeb Elayoun;55
Tabarka;Hajeb Elayoun;233
Sousse;Hajeb Elayoun;124
Souk El Ahad;Hajeb Elayoun;249
Skhira;Hajeb Elayoun;191
Sers;Hajeb Elayoun;104
Sbeitla;Hajeb Elayoun;44
Sfax;Hajeb Elayoun;178
Tozeur;Hajeb Elayoun;231
Tunis;Hajeb Elayoun;208
Tajerouine;Hajeb Elayoun;147
Takelsa;Hajeb Elayoun;217
Agareb;Hajeb Elayoun;168
Testour;Hajeb Elayoun;186
Tela;Hajeb Elayoun;108
Tebourba;Hajeb Elayoun;208
Teboursouk;Hajeb Elayoun;165
Tataouine;Hajeb Elayoun;371
Zarzis;Hajeb Elayoun;385
Zaghouan;Hajeb Elayoun;162
Zeramdine;Hajeb Elayoun;145
Zriba;Hajeb Elayoun;161
Alia;Hajeb Elayoun;258
Metlaoui;Hajeb Elayoun;177
Metouia;Hajeb Elayoun;235
Moknine;Hajeb Elayoun;158
Mateur;Hajeb Elayoun;242
Mareth;Hajeb Elayoun;287
Menzel Temime;Hajeb Elayoun;231
Menzel Bourguiba;Hajeb Elayoun;275
Menzel Hayet;Hajeb Elayoun;136
Medenine;Hajeb Elayoun;322
Mediaz El Bab;Hajeb Elayoun;192
Meknassy;Hajeb Elayoun;112
M'Dhilla;Hajeb Elayoun;152
Nabeul;Hajeb Elayoun;176
Nefta;Hajeb Elayoun;254
Monastir;Hajeb Elayoun;146
Mornaguia;Hajeb Elayoun;199
Om Laraies;Hajeb Elayoun;193
Ouedhref;Hajeb Elayoun;231
Kasserine;Kalaat El Andalous;307
Jerba Ajim;Kalaat El Andalous;545
Jerba Houmet Souk;Kalaat El Andalous;562
Jedeida;Kalaat El Andalous;40
Jemmal;Kalaat El Andalous;215
Jendouba;Kalaat El Andalous;181
Kairouan;Kalaat El Andalous;188
Ksar;Kalaat El Andalous;372
Korba;Kalaat El Andalous;114
Ksour Essef;Kalaat El Andalous;249
Kerkenah;Kalaat El Andalous;351
Kebili;Kalaat El Andalous;550
Kelibia;Kalaat El Andalous;163
Mahdia;Kalaat El Andalous;248
Mahres;Kalaat El Andalous;338
Makthar;Kalaat El Andalous;196
Le Kef;Kalaat El Andalous;195
Bizerte;Kalaat El Andalous;38
Bouficha;Kalaat El Andalous;116
Bou Arada;Kalaat El Andalous;117
Bou Argoub;Kalaat El Andalous;87
Bou Salem;Kalaat El Andalous;160
Benane Bodher;Kalaat El Andalous;220
Ben Guerdane;Kalaat El Andalous;591
Beja;Kalaat El Andalous;121
Chebba;Kalaat El Andalous;274
Dahmani;Kalaat El Andalous;204
Enfidha;Kalaat El Andalous;143
El Jem;Kalaat El Andalous;239
El Fahs;Kalaat El Andalous;96
Douz;Kalaat El Andalous;579
Ghar El Melh;Kalaat El Andalous;12
Ghardimaou;Kalaat El Andalous;214
Guettar;Kalaat El Andalous;391
Gromballia;Kalaat El Andalous;79
Feriana;Kalaat El Andalous;349
Gafsa;Kalaat El Andalous;376
Gabes;Kalaat El Andalous;450
Gaafour;Kalaat El Andalous;141
Sidi Thabet;Kalaat El Andalous;26
Siliana;Kalaat El Andalous;163
Sidi Bou Ali;Kalaat El Andalous;157
Sidi Bouzid;Kalaat El Andalous;292
Tabarka;Kalaat El Andalous;165
Sousse;Kalaat El Andalous;183
Souk El Ahad;Kalaat El Andalous;566
Skhira;Kalaat El Andalous;391
Sers;Kalaat El Andalous;190
Sbeitla;Kalaat El Andalous;281
Sfax;Kalaat El Andalous;304
Tozeur;Kalaat El Andalous;468
Tunis;Kalaat El Andalous;45
Tajerouine;Kalaat El Andalous;229
Takelsa;Kalaat El Andalous;88
Agareb;Kalaat El Andalous;316
Testour;Kalaat El Andalous;107
Tela;Kalaat El Andalous;268
Tebourba;Kalaat El Andalous;41
Teboursouk;Kalaat El Andalous;129
Tataouine;Kalaat El Andalous;570
Zarzis;Kalaat El Andalous;583
Zaghouan;Kalaat El Andalous;89
Zeramdine;Kalaat El Andalous;219
Zriba;Kalaat El Andalous;98
Alia;Kalaat El Andalous;18
Metlaoui;Kalaat El Andalous;414
Metouia;Kalaat El Andalous;434
Moknine;Kalaat El Andalous;232
Mateur;Kalaat El Andalous;58
Mareth;Kalaat El Andalous;486
Menzel Temime;Kalaat El Andalous;148
Menzel Bourguiba;Kalaat El Andalous;42
Menzel Hayet;Kalaat El Andalous;210
Medenine;Kalaat El Andalous;520
Mediaz El Bab;Kalaat El Andalous;88
Meknassy;Kalaat El Andalous;411
M'Dhilla;Kalaat El Andalous;389
Nabeul;Kalaat El Andalous;107
Nefta;Kalaat El Andalous;492
Monastir;Kalaat El Andalous;211
Mornaguia;Kalaat El Andalous;44
Om Laraies;Kalaat El Andalous;425
Ouedhref;Kalaat El Andalous;429
Jerba Ajim;Kasserine;365
Jerba Houmet Souk;Kasserine;383
Jedeida;Kasserine;276
Jemmal;Kasserine;213
Jendouba;Kasserine;179
Kairouan;Kasserine;137
Ksar;Kasserine;115
Korba;Kasserine;278
Ksour Essef;Kasserine;246
Kerkenah;Kasserine;244
Kebili;Kasserine;221
Kelibia;Kasserine;317
Mahdia;Kasserine;246
Mahres;Kasserine;225
Makthar;Kasserine;111
Le Kef;Kasserine;129
Bizerte;Kasserine;342
Bouficha;Kasserine;222
Bou Arada;Kasserine;186
Bou Argoub;Kasserine;252
Bou Salem;Kasserine;200
Benane Bodher;Kasserine;226
Ben Guerdane;Kasserine;411
Beja;Kasserine;228
Chebba;Kasserine;242
Dahmani;Kasserine;119
Enfidha;Kasserine;198
El Jem;Kasserine;211
El Fahs;Kasserine;211
Douz;Kasserine;250
Ghar El Melh;Kasserine;324
Ghardimaou;Kasserine;192
Guettar;Kasserine;131
Gromballia;Kasserine;261
Feriana;Kasserine;41
Gafsa;Kasserine;110
Gabes;Kasserine;270
Gaafour;Kasserine;176
Sidi Thabet;Kasserine;296
Siliana;Kasserine;144
Sidi Bou Ali;Kasserine;211
Sidi Bouzid;Kasserine;74
Tabarka;Kasserine;245
Sousse;Kasserine;195
Souk El Ahad;Kasserine;228
Skhira;Kasserine;210
Sers;Kasserine;134
Sbeitla;Kasserine;32
Sfax;Kasserine;197
Tozeur;Kasserine;203
Tunis;Kasserine;274
Tajerouine;Kasserine;93
Takelsa;Kasserine;289
Agareb;Kasserine;187
Testour;Kasserine;216
Tela;Kasserine;54
Tebourba;Kasserine;274
Teboursouk;Kasserine;194
Tataouine;Kasserine;390
Zarzis;Kasserine;404
Zaghouan;Kasserine;236
Zeramdine;Kasserine;216
Zriba;Kasserine;233
Alia;Kasserine;324
Metlaoui;Kasserine;149
Metouia;Kasserine;254
Moknine;Kasserine;229
Mateur;Kasserine;295
Mareth;Kasserine;306
Menzel Temime;Kasserine;302
Menzel Bourguiba;Kasserine;314
Menzel Hayet;Kasserine;207
Medenine;Kasserine;341
Mediaz El Bab;Kasserine;235
Meknassy;Kasserine;131
M'Dhilla;Kasserine;130
Nabeul;Kasserine;247
Nefta;Kasserine;226
Monastir;Kasserine;217
Mornaguia;Kasserine;265
Om Laraies;Kasserine;117
Ouedhref;Kasserine;250
Jerba Houmet Souk;Jerba Ajim;19
Jedeida;Jerba Ajim;531
Jemmal;Jerba Ajim;352
Jendouba;Jerba Ajim;480
Kairouan;Jerba Ajim;317
Ksar;Jerba Ajim;247
Korba;Jerba Ajim;488
Ksour Essef;Jerba Ajim;338
Kerkenah;Jerba Ajim;300
Kebili;Jerba Ajim;215
Kelibia;Jerba Ajim;527
Mahdia;Jerba Ajim;346
Mahres;Jerba Ajim;227
Makthar;Jerba Ajim;383
Le Kef;Jerba Ajim;451
Bizerte;Jerba Ajim;577
Bouficha;Jerba Ajim;432
Bou Arada;Jerba Ajim;434
Bou Argoub;Jerba Ajim;461
