"id";"reg";"mil";"sex";"age";"mat";"ins";"csp";"nbp";"pvr";"rev"
169;"GT";"urbain";"femme";52;"marie";"primaire";"ouvrier";4;FALSE;5394
170;"GT";"urbain";"homme";70;"veuf";"aucun";"employé";3;FALSE;3615
171;"GT";"urbain";"femme";70;"veuf";"aucun";"inactif";3;FALSE;5578
172;"GT";"urbain";"femme";68;"veuf";"primaire";"inactif";2;FALSE;6205
173;"GT";"urbain";"femme";35;"divorce";"primaire";"indépendant";2;FALSE;5085
174;"GT";"urbain";"homme";62;"marie";"primaire";"inactif";2;FALSE;5756
175;"GT";"urbain";"homme";49;"divorce";"secondaire";"ouvrier";3;FALSE;6451
176;"GT";"urbain";"homme";33;"marie";"secondaire";"ouvrier";3;FALSE;4356
177;"GT";"urbain";"homme";55;"marie";"primaire";"employé";4;FALSE;4825
178;"GT";"urbain";"femme";70;"veuf";"primaire";"inactif";2;FALSE;9496
179;"GT";"urbain";"homme";72;"marie";"primaire";"retraité";2;FALSE;7562
180;"GT";"urbain";"homme";56;"marie";"primaire";"ouvrier";4;FALSE;4545
181;"GT";"urbain";"homme";80;"veuf";"aucun";"retraité";5;FALSE;5093
182;"GT";"urbain";"homme";42;"marie";"secondaire";"employé";5;FALSE;5710
183;"GT";"urbain";"homme";38;"marie";"secondaire";"ouvrier";3;FALSE;11488
184;"GT";"urbain";"femme";83;"veuf";"aucun";"inactif";2;FALSE;5616
185;"GT";"urbain";"homme";65;"celibataire";"primaire";"retraité";2;FALSE;8670
186;"GT";"urbain";"homme";58;"marie";"primaire";"employé";5;FALSE;4013
187;"GT";"urbain";"homme";50;"marie";"primaire";"employé";4;FALSE;3644
188;"GT";"urbain";"homme";66;"celibataire";"secondaire";"retraité";6;FALSE;4232
189;"GT";"urbain";"homme";71;"marie";"primaire";"employé";5;FALSE;5619
190;"GT";"urbain";"homme";63;"marie";"secondaire";"retraité";2;FALSE;12921
191;"GT";"urbain";"homme";57;"marie";"primaire";"ouvrier";5;FALSE;7707
192;"GT";"urbain";"homme";64;"marie";"secondaire";"retraité";4;FALSE;4501
193;"GT";"urbain";"homme";69;"marie";"primaire";"retraité";3;FALSE;7970
194;"GT";"urbain";"homme";46;"marie";"secondaire";"employé";4;FALSE;7892
195;"GT";"urbain";"homme";61;"marie";"supérieur";"retraité";5;FALSE;5235
196;"GT";"urbain";"homme";69;"marie";"secondaire";"ouvrier";5;TRUE;2280
197;"GT";"urbain";"homme";57;"marie";"primaire";"cadre";3;FALSE;7541
198;"GT";"urbain";"homme";60;"marie";"primaire";"ouvrier";4;FALSE;4731
199;"GT";"urbain";"homme";41;"marie";"secondaire";"cadre";4;FALSE;6556
200;"GT";"urbain";"homme";53;"marie";"primaire";"cadre";4;FALSE;5602
201;"GT";"urbain";"homme";41;"marie";"secondaire";"ouvrier";4;FALSE;7417
202;"GT";"urbain";"homme";55;"marie";"supérieur";"cadre";5;FALSE;5889
203;"GT";"urbain";"homme";41;"marie";"secondaire";"ouvrier";5;FALSE;4041
204;"GT";"urbain";"homme";58;"marie";"aucun";"ouvrier";5;FALSE;3945
205;"GT";"urbain";"homme";54;"marie";"primaire";"indépendant";6;FALSE;4661
206;"GT";"urbain";"homme";47;"marie";"primaire";"indépendant";6;FALSE;3118
207;"GT";"urbain";"homme";52;"marie";"aucun";"chomeur";5;FALSE;4176
208;"GT";"urbain";"homme";59;"marie";"aucun";"ouvrier";6;FALSE;4584
209;"GT";"urbain";"homme";57;"marie";"primaire";"ouvrier";3;FALSE;8263
210;"GT";"urbain";"homme";39;"marie";"primaire";"ouvrier";4;FALSE;4049
211;"GT";"urbain";"homme";38;"marie";"primaire";"employé";4;FALSE;4328
212;"GT";"urbain";"femme";29;"marie";"supérieur";"inactif";3;FALSE;4942
213;"GT";"urbain";"femme";67;"veuf";"secondaire";"inactif";1;FALSE;15462
214;"GT";"urbain";"homme";60;"marie";"secondaire";"ouvrier";4;FALSE;4706
215;"GT";"urbain";"femme";86;"veuf";"aucun";"inactif";2;FALSE;7022
216;"GT";"urbain";"homme";53;"marie";"primaire";"employé";5;FALSE;3627
217;"GT";"urbain";"homme";59;"marie";"secondaire";"chomeur";5;TRUE;1456
218;"GT";"urbain";"femme";78;"veuf";"primaire";"inactif";6;FALSE;8011
219;"GT";"urbain";"femme";67;"divorce";"primaire";"chomeur";5;FALSE;3018
220;"GT";"urbain";"homme";58;"marie";"primaire";"employé";5;FALSE;3476
221;"GT";"urbain";"homme";81;"marie";"aucun";"retraité";4;FALSE;4702
222;"GT";"urbain";"femme";52;"veuf";"primaire";"ouvrier";3;FALSE;5671
223;"GT";"urbain";"homme";48;"marie";"secondaire";"indépendant";4;FALSE;2902
224;"GT";"urbain";"homme";52;"marie";"primaire";"ouvrier";5;FALSE;6186
225;"GT";"urbain";"homme";77;"veuf";"primaire";"retraité";6;FALSE;3037
226;"GT";"urbain";"femme";41;"divorce";"secondaire";"inactif";4;FALSE;4268
227;"GT";"urbain";"femme";72;"marie";"primaire";"retraité";3;FALSE;7847
